type,occurence,index_raw,participant_id,participant_age,participant_gender,time_start,participant_ans,target_ans,response_time,changed_shifted,switch_type,first_switch_rt,accuracy
TrialDigitSpan,2,128,aan_pilot,20,f,2109.253629,-1,2,,,none,,0
TrialDigitSpan,2,129,aan_pilot,20,f,2118.869588,2,2,1.116002,,none,,1
TrialDigitSpan,2,130,aan_pilot,20,f,2131.020627,0,0,2.709153,,none,,1
TrialDigitSpan,2,131,aan_pilot,20,f,2146.72298,0,0,2.739906,,none,,1
TrialDigitSpan,2,132,aan_pilot,20,f,2162.364353,0,0,1.744433,,none,,1
TrialDigitSpan,2,133,aan_pilot,20,f,2176.032142,2,2,1.645233,,none,,1
TrialDigitSpan,2,134,aan_pilot,20,f,2189.45788,0,0,2.295987,,none,,1
TrialDigitSpan,2,135,aan_pilot,20,f,2204.140984,1,1,2.027152,,none,,1
TrialDigitSpan,2,136,aan_pilot,20,f,2218.316178,2,2,1.876866,,none,,1
TrialDigitSpan,2,137,aan_pilot,20,f,2232.53205,1,1,2.359475,,none,,1
TrialDigitSpan,2,138,aan_pilot,20,f,2247.19829,2,2,2.395184,,none,,1
TrialDigitSpan,2,139,aan_pilot,20,f,2262.464694,0,0,2.450738,,none,,1
TrialDigitSpan,2,140,aan_pilot,20,f,2277.419134,0,0,2.115937,,none,,1
TrialDigitSpan,2,141,aan_pilot,20,f,2291.643894,0,0,2.731972,,none,,1
TrialDigitSpan,2,162,aan_pilot,20,f,2598.399864,2,2,2.380306,,none,,1
TrialDigitSpan,2,50,dan_pilot,24,m,684.3694856,1,1,1.5331385,1,none,,1
TrialDigitSpan,2,51,dan_pilot,24,m,698.2698998,2,2,1.0916622,,none,,1
TrialDigitSpan,2,52,dan_pilot,24,m,710.9727466,2,2,1.676482,,none,,1
TrialDigitSpan,2,53,dan_pilot,24,m,724.6454761,1,1,1.9185307,,none,,1
TrialDigitSpan,2,54,dan_pilot,24,m,738.5989742,1,1,1.8466105,,none,,1
TrialDigitSpan,2,55,dan_pilot,24,m,752.0565133,2,2,1.2137124,,none,,1
TrialDigitSpan,2,56,dan_pilot,24,m,765.1201437,0,0,2.2211208,,none,,1
TrialDigitSpan,2,57,dan_pilot,24,m,779.3911731,0,0,1.4016971,,none,,1
TrialDigitSpan,2,58,dan_pilot,24,m,792.2172911,0,0,1.6318417,,none,,1
TrialDigitSpan,2,59,dan_pilot,24,m,929.5268703,2,2,1.2097442,,none,,1
TrialDigitSpan,2,60,dan_pilot,24,m,941.7959366,1,0,2.5732847,,none,,0
TrialDigitSpan,2,61,dan_pilot,24,m,957.6386945,2,2,1.8178415,,none,,1
TrialDigitSpan,2,62,dan_pilot,24,m,971.2851465,1,1,0.9810896,,none,,1
TrialDigitSpan,2,63,dan_pilot,24,m,983.1699846,0,0,0.8486569,,none,,1
TrialDigitSpan,2,64,dan_pilot,24,m,995.7415538,0,0,0.936944,,none,,1
TrialDigitSpan,2,65,dan_pilot,24,m,1008.027499,1,1,0.864529,,none,,1
TrialDigitSpan,2,66,dan_pilot,24,m,1020.343175,2,2,1.526689,,none,,1
TrialDigitSpan,2,67,dan_pilot,24,m,1033.990132,2,2,1.613985,,none,,1
TrialDigitSpan,2,68,dan_pilot,24,m,1047.585504,2,2,1.382849,,none,,1
TrialDigitSpan,2,69,dan_pilot,24,m,1060.980492,0,0,0.923058,,none,,1
TrialDigitSpan,2,156,dan_pilot,24,m,2393.939827,1,1,1.677971,,none,,1
TrialDigitSpan,2,59,gus_pilot,26,m,829.6140714,0,0,1.3515975,1,none,,1
TrialDigitSpan,2,60,gus_pilot,26,m,843.5381575,2,2,1.2231372,,none,,1
