index_raw,index,participant_id,block,type,target_ans,participant_ans,time_start,time_response_enabled,time_response_submitted,time_block,response_time,accuracy,changed,occurence
91,15,adrian_pilot,2,TrialDigitSpan,1,1,1936.320199,1942.692961,1944.2384,16.778787,1.545439,1,1,6
92,16,adrian_pilot,2,TrialDigitSpan,0,0,1949.130576,1955.504263,1957.498682,12.810377,1.994419,1,0,6
93,17,adrian_pilot,2,TrialDigitSpan,1,1,1963.109658,1969.51161,1971.206351,13.979082,1.694741,1,0,6
94,18,adrian_pilot,2,TrialDigitSpan,0,0,1977.225876,1983.696789,1985.454135,14.116218,1.757346,1,0,6
95,19,adrian_pilot,2,TrialDigitSpan,1,1,1991.30007,1997.699265,1999.590821,14.074194,1.891556,1,0,6
96,20,adrian_pilot,2,TrialDigitSpan,1,1,2004.885769,2011.264825,2012.941199,13.585699,1.676374,1,0,6
97,21,adrian_pilot,2,TrialDigitSpan,1,1,2018.913435,2025.329329,2026.371492,14.027666,1.042163,1,0,6
98,22,adrian_pilot,2,TrialDigitSpan,1,1,2031.479522,2037.868436,2039.589121,12.566087,1.720685,1,0,6
99,0,adrian_pilot,2,TrialSpatialRotation,0,0,1287.146567,1293.569395,1295.849391,18.488759,2.279996,1,1,4
100,1,adrian_pilot,2,TrialSpatialRotation,1,2,1301.898581,1308.363284,1311.04785,14.752014,2.684566,0,0,4
101,2,adrian_pilot,2,TrialSpatialRotation,1,1,1317.242679,1323.740315,1325.649734,15.344098,1.909419,1,0,4
102,3,adrian_pilot,2,TrialSpatialRotation,0,0,1331.783258,1338.216902,1340.920309,14.540579,2.703407,1,0,4
103,4,adrian_pilot,2,TrialSpatialRotation,1,1,1347.79098,1354.251942,1356.190976,16.007722,1.939034,1,0,4
104,5,adrian_pilot,2,TrialSpatialRotation,0,0,1361.753711,1368.245259,1370.7675,13.962731,2.522241,1,0,4
105,6,adrian_pilot,2,TrialSpatialRotation,1,1,1376.991736,1383.4693,1385.964025,15.238025,2.494725,1,0,4
106,7,adrian_pilot,2,TrialSpatialRotation,1,1,1392.2263,1398.647645,1400.981003,15.234564,2.333358,1,0,4
107,8,adrian_pilot,2,TrialSpatialRotation,2,1,1407.410934,1413.856737,1416.724297,15.184634,2.86756,0,0,4
108,9,adrian_pilot,2,TrialSpatialRotation,0,0,2048.573414,2055.030479,2056.498132,17.093892,1.467653,1,1,5
109,10,adrian_pilot,2,TrialSpatialRotation,1,1,2061.412824,2067.919591,2069.975359,12.83941,2.055768,1,0,5
110,11,adrian_pilot,2,TrialSpatialRotation,2,2,2075.401252,2081.820403,2084.094693,13.988428,2.27429,1,0,5
111,12,adrian_pilot,2,TrialSpatialRotation,0,0,2089.971736,2096.444309,2098.251544,14.570484,1.807235,1,0,5
112,13,adrian_pilot,2,TrialSpatialRotation,1,1,2104.269299,2110.709618,2112.487642,14.297563,1.778024,1,0,5
113,14,adrian_pilot,2,TrialSpatialRotation,1,1,2117.928643,2124.414849,2126.611787,13.659344,2.196938,1,0,5
114,15,adrian_pilot,2,TrialSpatialRotation,1,1,2132.88835,2139.378235,2141.579548,14.959707,2.201313,1,0,5
115,16,adrian_pilot,2,TrialSpatialRotation,2,2,2147.32992,2153.763674,2156.086364,14.44157,2.32269,1,0,5
116,0,adrian_pilot,2,TrialSpatialSpan,2,-1,1218.332948,1224.676904,-1,138.32399,3,0,1,1
117,1,adrian_pilot,2,TrialSpatialSpan,2,2,1228.248195,1234.63799,1235.949771,9.915247,1.311781,1,0,1
118,2,adrian_pilot,2,TrialSpatialSpan,2,2,1240.961416,1247.384614,1248.593959,12.713221,1.209345,1,0,1
119,3,adrian_pilot,2,TrialSpatialSpan,1,1,1253.987169,1260.352962,1262.765805,13.025753,2.412843,1,0,1
120,4,adrian_pilot,2,TrialSpatialSpan,0,0,1268.657808,1275.083134,1277.496548,14.670639,2.413414,1,0,1
121,5,adrian_pilot,2,TrialSpatialSpan,2,-1,1423.33623,1429.723888,-1,15.925296,3,0,1,2
122,6,adrian_pilot,2,TrialSpatialSpan,2,2,1433.213403,1439.649492,1441.636951,9.877173,1.987459,1,0,2
123,7,adrian_pilot,2,TrialSpatialSpan,0,-1,1447.082124,1453.471618,-1,13.868721,3,0,0,2
124,8,adrian_pilot,2,TrialSpatialSpan,1,1,1457.576942,1464.012184,1466.123866,10.494818,2.111682,1,0,2
125,9,adrian_pilot,2,TrialSpatialSpan,0,1,1472.26971,1478.688143,1481.56307,14.692768,2.874927,0,0,2
126,10,adrian_pilot,2,TrialSpatialSpan,2,2,1487.866284,1494.259789,1495.623209,15.596574,1.36342,1,0,2
127,11,adrian_pilot,2,TrialSpatialSpan,1,1,1500.564723,1506.991322,1509.357332,12.698439,2.36601,1,0,2
128,12,adrian_pilot,2,TrialSpatialSpan,1,-1,1515.740957,1522.125499,-1,15.176234,3,0,0,2
