,participant_id,type,target_ans,participant_ans,time_start,time_response_enabled,time_response_submitted,time_block,response_time,accuracy,block,,Aan_DS_B1,Aan_DS_B2,Aan_DS_B3,Aan_DS_B4,,Aan_SS_B1,Aan_SS_B2,Aan_SS_B3,Aan_SS_B4,,Aan_SR_B1,Aan_SR_B2,Aan_SR_B3,Aan_SR_B4
108,aan_pilot,TrialSpatialSpan,2,2,1710.875518,1717.327456,1719.574834,15.24305797,2.247377634,1,2,,,,,,,,,,,,,,,
109,aan_pilot,TrialSpatialSpan,1,1,1725.482213,1731.924751,1734.755424,14.60669541,2.830672979,1,2,,,,,,,,,,,,,,,
110,aan_pilot,TrialSpatialSpan,0,1,1741.886424,1748.342364,1750.79707,16.40421128,2.454706192,0,2,,,,,,,,,,,,,,,
111,aan_pilot,TrialSpatialSpan,0,0,1756.954423,1763.399451,1765.961789,15.06799889,2.562338114,1,2,,,,,,,,,,,,,,,
112,aan_pilot,TrialSpatialSpan,1,-1,1772.743603,1779.200536,-1,15.78918028,3,0,2,,,,,,,,,,,,,,,
113,aan_pilot,TrialSpatialSpan,1,1,1903.423862,1909.869868,1912.351358,130.6802585,2.481489897,1,3,,,,,,,,,,,,,,,
114,aan_pilot,TrialSpatialSpan,1,-1,1918.261769,1924.720618,-1,14.8379066,3,0,3,,,,,,,,,,,,,,,
115,aan_pilot,TrialSpatialSpan,0,0,1928.593886,1935.044867,1937.253061,10.3321178,2.208193779,1,3,,,,,,,,,,,,,,,
116,aan_pilot,TrialSpatialSpan,0,0,1943.425293,1949.867841,1952.191106,14.83140683,2.323265791,1,3,,,,,,,,,,,,,,,
117,aan_pilot,TrialSpatialSpan,1,1,1958.257749,1964.713629,1967.1232,14.83245611,2.409571171,1,3,,,,,,,,,,,,,,,
118,aan_pilot,TrialSpatialSpan,1,1,1973.851951,1980.300444,1983.109293,15.59420204,2.808849096,1,3,,,,,,,,,,,,,,,
119,aan_pilot,TrialSpatialSpan,0,1,1989.935253,1996.377306,1999.001646,16.08330202,2.624340057,0,3,,,,,,,,,,,,,,,
120,aan_pilot,TrialSpatialSpan,1,1,2005.527537,2011.971561,2014.230347,15.59228396,2.258785486,1,3,,,,,,,,,,,,,,,
121,aan_pilot,TrialSpatialSpan,2,2,2020.719524,2027.173479,2029.426807,15.19198704,2.253328323,1,3,,,,,,,,,,,,,,,
122,aan_pilot,TrialSpatialSpan,2,2,2035.550925,2042.004386,2043.890676,14.83140087,1.886289835,1,3,,,,,,,,,,,,,,,
123,aan_pilot,TrialDigitSpan,2,2,2049.479623,2055.920176,2058.206242,13.92869759,2.286065578,1,3,,,,,,,,,,,,,,,
124,aan_pilot,TrialDigitSpan,1,1,2063.823944,2070.275915,2072.516845,14.34432077,2.24093008,1,3,,,,,,,,,,,,,,,
125,aan_pilot,TrialDigitSpan,1,1,2078.575995,2085.022505,2087.259965,14.75205159,2.237459421,1,3,,,,,,,,,,,,,,,
126,aan_pilot,TrialDigitSpan,0,0,2093.231315,2099.665927,2102.496602,14.65531945,2.830674171,1,3,,,,,,,,,,,,,,,
127,aan_pilot,TrialDigitSpan,2,-1,2109.253629,2115.690212,-1,16.02231455,3,0,3,,,,,,,,,,,,,,,
128,aan_pilot,TrialDigitSpan,2,2,2118.869588,2125.336925,2126.452927,9.615958691,1.116001844,1,3,,,,,,,,,,,,,,,
129,aan_pilot,TrialDigitSpan,0,0,2131.020627,2137.468601,2140.177754,12.15103912,2.709153652,1,3,,,,,,,,,,,,,,,
130,aan_pilot,TrialDigitSpan,0,0,2146.72298,2153.170487,2155.910393,15.70235252,2.739905596,1,3,,,,,,,,,,,,,,,
131,aan_pilot,TrialDigitSpan,0,0,2162.364353,2168.857492,2170.601925,15.64137363,1.744432926,1,3,,,,,,,,,,,,,,,
132,aan_pilot,TrialDigitSpan,2,2,2176.032142,2182.526272,2184.171505,13.66778898,1.645233154,1,3,,,,,,,,,,,,,,,
133,aan_pilot,TrialDigitSpan,0,0,2189.45788,2195.953004,2198.248991,13.4257381,2.295986652,1,3,,,,,,,,,,,,,,,
134,aan_pilot,TrialDigitSpan,1,1,2204.140984,2210.602875,2212.630027,14.68310404,2.0271523,1,3,,,,,,,,,,,,,,,
135,aan_pilot,TrialDigitSpan,2,2,2218.316178,2224.834118,2226.710984,14.17519331,1.876865625,1,3,,,,,,,,,,,,,,,
136,aan_pilot,TrialDigitSpan,1,1,2232.53205,2238.982035,2241.34151,14.21587205,2.359475136,1,3,,,,,,,,,,,,,,,
137,aan_pilot,TrialDigitSpan,2,2,2247.19829,2253.667121,2256.062305,14.66624045,2.39518404,1,3,,,,,,,,,,,,,,,
138,aan_pilot,TrialDigitSpan,0,0,2262.464694,2268.913679,2271.364417,15.26640415,2.45073843,1,3,,,,,,,,,,,,,,,
139,aan_pilot,TrialDigitSpan,0,0,2277.419134,2283.8671,2285.983037,14.9544394,2.115936995,1,3,,,,,,,,,,,,,,,
140,aan_pilot,TrialDigitSpan,0,0,2291.643894,2298.086439,2300.818411,14.22476053,2.731971502,1,3,,,,,,,,,,,,,,,
141,aan_pilot,TrialSpatialSpan,2,2,2310.793972,2317.250409,2319.246314,19.15007806,1.995904922,1,3,,,,,,,,,,,,,,,
142,aan_pilot,TrialSpatialSpan,0,0,2324.60808,2331.051126,2333.276183,13.81410766,2.225056648,1,3,,,,,,,,,,,,,,,
143,aan_pilot,TrialSpatialSpan,2,2,2339.070463,2345.507555,2347.900262,14.46238351,2.392706633,1,3,,,,,,,,,,,,,,,
144,aan_pilot,TrialSpatialSpan,2,2,2353.617667,2360.065663,2363.002481,14.54720402,2.936818838,1,3,,,,,,,,,,,,,,,
145,aan_pilot,TrialSpatialSpan,2,2,2369.271433,2375.741757,2377.944,15.65376592,2.202243328,1,3,,,,,,,,,,,,,,,
146,aan_pilot,TrialSpatialSpan,0,-1,2383.810707,2390.25969,-1,14.53927326,3,0,3,,,,,,,,,,,,,,,
147,aan_pilot,TrialSpatialSpan,2,2,2393.639935,2400.091412,2402.167668,9.82922864,2.076256514,1,3,,,,,,,,,,,,,,,
148,aan_pilot,TrialSpatialSpan,2,2,2408.189624,2414.63712,2416.837379,14.54968882,2.20025897,1,3,,,,,,,,,,,,,,,
149,aan_pilot,TrialSpatialSpan,2,2,2423.272986,2429.726943,2431.109295,15.0833621,1.382352114,1,3,,,,,,,,,,,,,,,
150,aan_pilot,TrialSpatialSpan,0,0,2436.385751,2442.850618,2445.010699,13.11276507,2.160080194,1,3,,,,,,,,,,,,,,,
151,aan_pilot,TrialSpatialSpan,0,0,2451.06639,2457.516854,2459.459192,14.68063831,1.942337275,1,3,,,,,,,,,,,,,,,
152,aan_pilot,TrialSpatialSpan,0,0,2465.685989,2472.1325,2473.854118,14.6195991,1.721617937,1,3,,,,,,,,,,,,,,,
153,aan_pilot,TrialSpatialSpan,0,0,2479.596818,2486.049775,2488.111155,13.91082954,2.061379194,1,3,,,,,,,,,,,,,,,
154,aan_pilot,TrialSpatialSpan,2,1,2494.373657,2500.845468,2503.788735,14.7768383,2.94326663,0,3,,,,,,,,,,,,,,,
155,aan_pilot,TrialSpatialSpan,0,0,2511.02737,2517.475373,2519.757469,16.65371323,2.282096148,1,3,,,,,,,,,,,,,,,
156,aan_pilot,TrialSpatialSpan,1,1,2525.798756,2532.237833,2534.02145,14.77138638,1.783617496,1,3,,,,,,,,,,,,,,,
157,aan_pilot,TrialSpatialSpan,0,0,2540.097457,2546.53207,2548.606839,14.29870105,2.074769497,1,3,,,,,,,,,,,,,,,
158,aan_pilot,TrialSpatialSpan,0,0,2554.303412,2560.751908,2563.166436,14.20595455,2.414527655,1,3,,,,,,,,,,,,,,,
159,aan_pilot,TrialSpatialSpan,1,1,2569.37984,2575.849664,2576.886306,15.07642865,1.036642313,1,3,,,,,,,,,,,,,,,
160,aan_pilot,TrialSpatialSpan,1,1,2581.510022,2587.95654,2589.550188,12.13018203,1.593648195,1,3,,,,,,,,,,,,,,,
161,aan_pilot,TrialDigitSpan,2,2,2598.399864,2604.844362,2607.224668,16.88984132,2.380306005,1,3,,,,,,,,,,,,,,,
162,aan_pilot,TrialDigitSpan,0,0,2612.97334,2619.423799,2620.995128,14.57347608,1.571329117,1,3,,,,,,,,,,,,,,,
163,aan_pilot,TrialDigitSpan,2,2,2626.837057,2633.274611,2635.205045,13.86371708,1.930433035,1,3,,,,,,,,,,,,,,,
164,aan_pilot,TrialDigitSpan,0,0,2640.637244,2647.102112,2649.087601,13.80018735,1.985488892,1,3,,,,,,,,,,,,,,,
165,aan_pilot,TrialDigitSpan,1,1,2654.495992,2661.033772,2662.264349,13.85874796,1.23057723,1,3,,,,,,,,,,,,,,,
166,aan_pilot,TrialDigitSpan,0,0,2667.023971,2673.524551,2675.053722,12.52797866,1.529170275,1,3,,,,,,,,,,,,,,,
167,aan_pilot,TrialDigitSpan,2,2,2680.923887,2687.41802,2689.545861,13.89991641,2.127840042,1,3,,,,,,,,,,,,,,,
168,aan_pilot,TrialDigitSpan,1,-1,2816.28888,2822.737358,-1,135.3649929,3,0,4,,,,,,,,,,,,,,,
169,aan_pilot,TrialDigitSpan,2,2,2826.547138,2832.977287,2835.099175,10.25825763,2.121888638,1,4,,,,,,,,,,,,,,,
170,aan_pilot,TrialDigitSpan,2,0,2840.554193,2846.992274,2848.935108,14.00705504,1.942834139,0,4,,,,,,,,,,,,,,,
171,aan_pilot,TrialDigitSpan,1,2,2855.000205,2861.456639,2864.120162,14.44601226,2.66352272,0,4,,,,,,,,,,,,,,,
172,aan_pilot,TrialDigitSpan,1,1,2870.382715,2876.826204,2879.682672,15.38251042,2.856467962,1,4,,,,,,,,,,,,,,,
173,aan_pilot,TrialDigitSpan,2,2,2886.533689,2892.984174,2894.892783,16.15097308,1.90860939,1,4,,,,,,,,,,,,,,,
174,aan_pilot,TrialDigitSpan,0,0,2900.961864,2907.399433,2909.639867,14.42817569,2.24043417,1,4,,,,,,,,,,,,,,,
175,aan_pilot,TrialDigitSpan,0,2,2915.98771,2922.460518,2923.938568,15.02584553,1.478049755,0,4,,,,,,,,,,,,,,,
176,aan_pilot,TrialSpatialRotation,2,0,2929.153542,2935.683858,2938.264549,13.1658318,2.580690384,0,4,,,,,,,,,,,,,,,
177,aan_pilot,TrialSpatialRotation,2,-1,2944.883209,2951.38773,-1,15.72966719,3,0,4,,,,,,,,,,,,,,,
178,aan_pilot,TrialSpatialRotation,0,0,2954.781093,2961.285631,2962.823232,9.897884369,1.537600517,1,4,,,,,,,,,,,,,,,
179,aan_pilot,TrialSpatialRotation,0,0,2967.721751,2974.260508,2976.259884,12.94065809,1.999376535,1,4,,,,,,,,,,,,,,,
180,aan_pilot,TrialSpatialRotation,2,0,2982.513957,2989.013048,2991.370041,14.79220581,2.356993675,0,4,,,,,,,,,,,,,,,
