,type,occurence,index_raw,participant_id,participant_age,participant_gender,time_start,participant_ans,target_ans,response_time,changed_shifted,switch_type,first_switch_rt,accuracy
192,TrialDigitSpan,2,59,gus_pilot,26,m,829.6140714,0,0,1.3515975,1.0,none,,1
193,TrialDigitSpan,2,60,gus_pilot,26,m,843.5381574999999,2,2,1.2231372,,none,,1
194,TrialDigitSpan,2,61,gus_pilot,26,m,857.1945372000001,2,2,1.7860952,,none,,1
195,TrialDigitSpan,2,62,gus_pilot,26,m,872.0700965,0,0,1.204782,,none,,1
196,TrialDigitSpan,2,63,gus_pilot,26,m,885.3799528999999,1,1,1.4746122,,none,,1
197,TrialDigitSpan,2,64,gus_pilot,26,m,898.6961513,0,0,2.3505431,,none,,1
198,TrialDigitSpan,2,65,gus_pilot,26,m,1034.4869210000002,0,0,1.666063,,none,,1
199,TrialDigitSpan,2,66,gus_pilot,26,m,1048.1919380000002,2,2,1.649199,,none,,1
200,TrialDigitSpan,2,67,gus_pilot,26,m,1062.1821009999999,0,0,2.51125,,none,,1
201,TrialDigitSpan,2,68,gus_pilot,26,m,1077.18961,0,0,1.026224,,none,,1
202,TrialDigitSpan,2,69,gus_pilot,26,m,1089.76121,2,2,1.7677470000000002,,none,,1
203,TrialDigitSpan,2,70,gus_pilot,26,m,1103.928965,1,1,0.859072,,none,,1
204,TrialDigitSpan,2,71,gus_pilot,26,m,1116.341379,0,0,2.112963,,none,,1
205,TrialDigitSpan,2,72,gus_pilot,26,m,1131.218415,0,0,1.8535529999999998,,none,,1
206,TrialDigitSpan,2,129,gus_pilot,26,m,2081.078578,2,2,1.409139,,none,,1
207,TrialDigitSpan,2,54,hazel_pilot,25,f,777.5588634,1,1,1.4388954,1.0,none,,1
208,TrialDigitSpan,2,55,hazel_pilot,25,f,790.7897425,1,0,1.9785468999999998,,none,,0
209,TrialDigitSpan,2,56,hazel_pilot,25,f,805.4588902,2,2,1.4840052,,none,,1
210,TrialDigitSpan,2,57,hazel_pilot,25,f,819.1465172999999,1,1,1.8545446,,none,,1
211,TrialDigitSpan,2,58,hazel_pilot,25,f,832.8083987000001,0,0,2.0266596999999997,,none,,1
212,TrialDigitSpan,2,59,hazel_pilot,25,f,847.2275812999999,1,1,2.090147,,none,,1
213,TrialDigitSpan,2,60,hazel_pilot,25,f,861.9787905,1,2,1.5658724,,none,,0
214,TrialDigitSpan,2,61,hazel_pilot,25,f,999.3952568,2,0,1.982018,,none,,0
215,TrialDigitSpan,2,62,hazel_pilot,25,f,1013.37255,1,2,2.0242080000000002,,none,,0
216,TrialDigitSpan,2,63,hazel_pilot,25,f,1027.288339,-1,1,,,none,,0
217,TrialDigitSpan,2,64,hazel_pilot,25,f,1037.6428429999999,2,2,2.323762,,none,,1
218,TrialDigitSpan,2,65,hazel_pilot,25,f,1052.486891,2,2,1.57728,,none,,1
219,TrialDigitSpan,2,66,hazel_pilot,25,f,1065.531732,0,0,2.146163,,none,,1
220,TrialDigitSpan,2,67,hazel_pilot,25,f,1080.177618,1,1,1.463697,,none,,1
221,TrialDigitSpan,2,68,hazel_pilot,25,f,1093.582526,2,2,2.051457,,none,,1
222,TrialDigitSpan,2,141,hazel_pilot,25,f,2247.456803,1,0,1.8054430000000001,,none,,0
223,TrialDigitSpan,2,91,henry_pilot,26,m,1398.404898,1,1,1.751873,1.0,none,,1
224,TrialDigitSpan,2,92,henry_pilot,26,m,1411.937773,2,2,1.235041,,none,,1
225,TrialDigitSpan,2,93,henry_pilot,26,m,1424.383924,2,2,1.382387,,none,,1
226,TrialDigitSpan,2,94,henry_pilot,26,m,1437.246691,2,2,1.633825,,none,,1
227,TrialDigitSpan,2,95,henry_pilot,26,m,1450.8242089999999,1,1,1.382849,,none,,1
228,TrialDigitSpan,2,96,henry_pilot,26,m,1463.733613,2,2,1.3585450000000001,,none,,1
229,TrialDigitSpan,2,97,henry_pilot,26,m,1476.3970000000002,0,0,1.508833,,none,,1
230,TrialDigitSpan,2,98,henry_pilot,26,m,1489.813315,0,0,0.827825,,none,,1
231,TrialDigitSpan,2,99,henry_pilot,26,m,1502.129999,2,2,1.528178,,none,,1
232,TrialDigitSpan,2,100,henry_pilot,26,m,1515.065689,0,0,1.7374889999999998,,none,,1
233,TrialDigitSpan,2,101,henry_pilot,26,m,1528.364461,1,1,1.445345,,none,,1
234,TrialDigitSpan,2,102,henry_pilot,26,m,1541.796656,0,0,1.006384,,none,,1
235,TrialDigitSpan,2,103,henry_pilot,26,m,1553.969484,0,0,0.948815,,none,,1
236,TrialDigitSpan,2,104,henry_pilot,26,m,1566.1596880000002,1,1,1.375905,,none,,1
237,TrialDigitSpan,2,105,henry_pilot,26,m,1579.062146,0,0,1.210768,,none,,1
238,TrialDigitSpan,2,106,henry_pilot,26,m,1591.746365,2,2,1.496433,,none,,1
239,TrialDigitSpan,2,107,henry_pilot,26,m,1605.392329,0,0,1.3520969999999999,,none,,1
240,TrialDigitSpan,2,125,henry_pilot,26,m,1984.44778,2,2,1.223632,,none,,1
241,TrialDigitSpan,2,107,jess_pilot,21,f,1661.470264,2,2,2.372861,1.0,none,,1
242,TrialDigitSpan,2,108,jess_pilot,21,f,1676.132781,0,0,1.999687,,none,,1
243,TrialDigitSpan,2,109,jess_pilot,21,f,1690.168698,0,0,1.8719080000000001,,none,,1
