,index_raw,index,participant_id,block,type,target_ans,participant_ans,time_start,time_response_enabled,time_response_submitted,time_block,response_time,accuracy,changed,occurence
144,144,28,adrian_pilot,2,TrialSpatialSpan,2,2,2178.7215730000003,2185.1267,2186.502807,16.606813,1.376107,1,0,5
145,145,29,adrian_pilot,2,TrialSpatialSpan,1,1,2192.026553,2198.423287,2200.382315,13.304979999999999,1.959028,1,0,5
146,146,0,adrian_pilot,3,TrialDigitSpan,0,0,2467.105943,2473.518725,2475.336787,17.916101,1.8180619999999998,1,1,7
147,147,1,adrian_pilot,3,TrialDigitSpan,2,2,2481.413033,2487.797161,2488.885703,14.307089999999999,1.088542,1,0,7
148,148,2,adrian_pilot,3,TrialDigitSpan,2,2,2493.810335,2500.242136,2501.367741,12.397302,1.125605,1,0,7
149,149,3,adrian_pilot,3,TrialDigitSpan,1,1,2506.28937,2512.700405,2514.385034,12.479035000000001,1.6846290000000002,1,0,7
150,150,4,adrian_pilot,3,TrialDigitSpan,0,0,2520.087114,2526.518682,2528.213032,13.797744,1.69435,1,0,7
151,151,5,adrian_pilot,3,TrialDigitSpan,1,1,2533.7460300000002,2540.19364,2541.1770309999997,13.658916,0.983391,1,0,7
152,152,6,adrian_pilot,3,TrialDigitSpan,2,2,2545.5120309999998,2551.904193,2553.581207,11.766001,1.677014,1,0,7
153,153,7,adrian_pilot,3,TrialDigitSpan,0,0,2856.6111170000004,2863.0152239999998,2865.090891,14.804523999999999,2.0756669999999997,1,1,8
154,154,8,adrian_pilot,3,TrialDigitSpan,2,2,2870.593127,2877.008636,2878.811807,13.98201,1.8031709999999999,1,0,8
155,155,9,adrian_pilot,3,TrialDigitSpan,0,0,2884.2439640000002,2890.654557,2892.072291,13.650837,1.417734,1,0,8
156,156,10,adrian_pilot,3,TrialDigitSpan,2,2,2897.598402,2904.012591,2905.307419,13.354438,1.294828,1,0,8
157,157,11,adrian_pilot,3,TrialDigitSpan,1,1,2910.057254,2916.449656,2918.187602,12.458852,1.737946,1,0,8
158,158,12,adrian_pilot,3,TrialDigitSpan,0,0,2923.784016,2930.2163530000003,2932.137302,13.726761999999999,1.9209490000000002,1,0,8
159,159,13,adrian_pilot,3,TrialDigitSpan,1,1,2937.43208,2943.832731,2945.8653510000004,13.648064000000002,2.03262,1,0,8
160,160,14,adrian_pilot,3,TrialDigitSpan,2,2,2951.33209,2957.718319,2959.597327,13.90001,1.8790080000000002,1,0,8
161,161,15,adrian_pilot,3,TrialDigitSpan,1,1,2965.651503,2972.118465,2973.7721149999998,14.319413,1.65365,1,0,8
162,162,16,adrian_pilot,3,TrialDigitSpan,1,1,3089.147502,3095.5282469999997,3097.237051,12.428037,1.708804,1,1,9
163,163,17,adrian_pilot,3,TrialDigitSpan,1,1,3102.8218460000003,3109.2621059999997,3110.6259600000003,13.674344,1.3638540000000001,1,0,9
164,164,18,adrian_pilot,3,TrialDigitSpan,2,2,3116.047517,3122.45813,3123.9915079999996,13.225670999999998,1.5333780000000001,1,0,9
165,165,19,adrian_pilot,3,TrialDigitSpan,2,2,3129.239197,3135.664509,3136.985463,13.191679999999998,1.3209540000000002,1,0,9
166,166,20,adrian_pilot,3,TrialDigitSpan,2,2,3142.341621,3148.734089,3149.8710530000003,13.102424000000001,1.1369639999999999,1,0,9
167,167,21,adrian_pilot,3,TrialDigitSpan,1,1,3154.592484,3160.980195,3162.079467,12.250863,1.099272,1,0,9
