,index_raw,participant_id,participant_age,participant_gender,type,time_start,time_response_submitted,participant_ans,target_ans
1157,147,aan_pilot,20,f,TrialSpatialRotation,3554.510062,1.9636669999999998,2,2
1165,148,aan_pilot,20,f,TrialSpatialSpan,501.07453389999995,2.8956173,1,1
1226,149,aan_pilot,20,f,TrialSpatialSpan,517.124614,2.1675222,1,1
1227,150,aan_pilot,20,f,TrialSpatialSpan,531.3167284,2.9392984,2,2
1228,151,aan_pilot,20,f,TrialSpatialSpan,547.4838221,2.3723697999999995,0,0
1229,152,aan_pilot,20,f,TrialSpatialSpan,562.5413772999999,2.5474586,0,0
1230,153,aan_pilot,20,f,TrialSpatialSpan,577.8777125,2.7929766,1,2
1231,154,aan_pilot,20,f,TrialSpatialSpan,593.489326,2.7800827,1,1
1232,155,aan_pilot,20,f,TrialSpatialSpan,609.3489566000001,2.8703532000000003,2,2
1233,156,aan_pilot,20,f,TrialSpatialSpan,624.9967611000001,2.0286433999999995,1,1
1234,157,aan_pilot,20,f,TrialSpatialSpan,638.8520593999999,,-1,2
1235,158,aan_pilot,20,f,TrialSpatialSpan,648.8915856000001,1.3828486999999998,1,1
1236,159,aan_pilot,20,f,TrialSpatialSpan,662.3317068,,-1,1
1237,160,aan_pilot,20,f,TrialSpatialSpan,672.7978153,2.4938901,0,2
1238,161,aan_pilot,20,f,TrialSpatialSpan,688.2586424,2.3847688999999996,0,0
1239,162,aan_pilot,20,f,TrialSpatialSpan,703.4937952,2.5593607000000005,1,1
1240,163,aan_pilot,20,f,TrialSpatialSpan,718.7606845,2.8668833,1,1
1241,164,aan_pilot,20,f,TrialSpatialSpan,734.6639624,2.2230738999999997,0,0
1242,165,aan_pilot,20,f,TrialSpatialSpan,1172.364828,2.760242,1,2
1373,166,aan_pilot,20,f,TrialSpatialSpan,1188.42136,2.8495209999999997,2,2
1374,167,aan_pilot,20,f,TrialSpatialSpan,1204.351894,1.836689,2,2
1375,168,aan_pilot,20,f,TrialSpatialSpan,1217.7642449999998,2.748337,0,1
1376,169,aan_pilot,20,f,TrialSpatialSpan,1233.92642,2.35253,0,0
1377,170,aan_pilot,20,f,TrialSpatialSpan,1249.0613759999999,2.9110270000000003,1,1
1378,171,aan_pilot,20,f,TrialSpatialSpan,1264.735488,2.295986,1,1
1379,172,aan_pilot,20,f,TrialSpatialSpan,1279.282205,2.463635,2,1
1380,173,aan_pilot,20,f,TrialSpatialSpan,1293.962336,1.730546,1,1
1381,174,aan_pilot,20,f,TrialSpatialSpan,1307.691603,2.089154,0,0
1382,175,aan_pilot,20,f,TrialSpatialSpan,1321.977428,2.9432650000000002,1,2
1383,176,aan_pilot,20,f,TrialSpatialSpan,1337.928357,1.574306,2,2
1384,177,aan_pilot,20,f,TrialSpatialSpan,1351.930877,,-1,0
1385,178,aan_pilot,20,f,TrialSpatialSpan,1361.879653,2.105522,1,1
1386,179,aan_pilot,20,f,TrialSpatialSpan,1376.6307160000001,2.453713,1,1
1387,180,aan_pilot,20,f,TrialSpatialSpan,1392.032522,,-1,1
1388,181,aan_pilot,20,f,TrialSpatialSpan,1402.543778,1.252897,2,2
1389,182,aan_pilot,20,f,TrialSpatialSpan,1652.9748730000001,2.0752650000000004,0,0
1515,183,aan_pilot,20,f,TrialSpatialSpan,1667.127255,2.0157439999999998,2,2
1516,184,aan_pilot,20,f,TrialSpatialSpan,1681.340146,1.9289459999999998,1,1
1517,185,aan_pilot,20,f,TrialSpatialSpan,1695.63246,2.299954,2,2
1518,186,aan_pilot,20,f,TrialSpatialSpan,1710.875518,2.247378,2,2
1519,187,aan_pilot,20,f,TrialSpatialSpan,1725.482213,2.830673,1,1
1520,188,aan_pilot,20,f,TrialSpatialSpan,1741.8864239999998,2.4547060000000003,1,0
1521,189,aan_pilot,20,f,TrialSpatialSpan,1756.9544230000001,2.562338,0,0
1522,190,aan_pilot,20,f,TrialSpatialSpan,1772.7436030000001,,-1,1
1523,191,aan_pilot,20,f,TrialSpatialSpan,1903.423862,2.48149,1,1
1524,192,aan_pilot,20,f,TrialSpatialSpan,1918.2617690000002,,-1,1
1525,193,aan_pilot,20,f,TrialSpatialSpan,1928.5938859999999,2.2081939999999998,0,0
1526,194,aan_pilot,20,f,TrialSpatialSpan,1943.425293,2.323265,0,0
1527,195,aan_pilot,20,f,TrialSpatialSpan,1958.2577489999999,2.409571,1,1
1528,196,aan_pilot,20,f,TrialSpatialSpan,1973.851951,2.8088490000000004,1,1
1529,197,aan_pilot,20,f,TrialSpatialSpan,1989.935253,2.62434,1,0
1530,198,aan_pilot,20,f,TrialSpatialSpan,2005.5275370000002,2.258786,1,1
1531,199,aan_pilot,20,f,TrialSpatialSpan,2020.7195239999999,2.2533279999999998,2,2
1532,200,aan_pilot,20,f,TrialSpatialSpan,2035.550925,1.8862900000000002,2,2
1533,201,aan_pilot,20,f,TrialSpatialSpan,2310.793972,1.9959049999999998,2,2
1664,202,aan_pilot,20,f,TrialSpatialSpan,2324.60808,2.225057,0,0
1665,203,aan_pilot,20,f,TrialSpatialSpan,2339.070463,2.392707,2,2
1666,204,aan_pilot,20,f,TrialSpatialSpan,2353.617667,2.936818,2,2
1667,205,aan_pilot,20,f,TrialSpatialSpan,2369.271433,2.202243,2,2
1668,206,aan_pilot,20,f,TrialSpatialSpan,2383.810707,,-1,0
1669,207,aan_pilot,20,f,TrialSpatialSpan,2393.639935,2.0762560000000003,2,2
1670,208,aan_pilot,20,f,TrialSpatialSpan,2408.1896239999996,2.200259,2,2
1671,209,aan_pilot,20,f,TrialSpatialSpan,2423.272986,1.382352,2,2
1672,210,aan_pilot,20,f,TrialSpatialSpan,2436.3857510000003,2.160081,0,0
1673,211,aan_pilot,20,f,TrialSpatialSpan,2451.06639,1.9423380000000001,0,0
1674,212,aan_pilot,20,f,TrialSpatialSpan,2465.685989,1.721618,0,0
1675,213,aan_pilot,20,f,TrialSpatialSpan,2479.596818,2.0613799999999998,0,0
1676,214,aan_pilot,20,f,TrialSpatialSpan,2494.373657,2.9432669999999996,1,2
1677,215,aan_pilot,20,f,TrialSpatialSpan,2511.02737,2.282096,0,0
1678,216,aan_pilot,20,f,TrialSpatialSpan,2525.7987559999997,1.7836169999999998,1,1
1679,217,aan_pilot,20,f,TrialSpatialSpan,2540.097457,2.074769,0,0
1680,218,aan_pilot,20,f,TrialSpatialSpan,2554.303412,2.414528,0,0
1681,219,aan_pilot,20,f,TrialSpatialSpan,2569.37984,1.036642,1,1
1682,220,aan_pilot,20,f,TrialSpatialSpan,2581.510022,1.593648,1,1
1,1,dan_pilot,24,m,TrialDigitSpan,214.0881109,1.522722,1,1
24,2,dan_pilot,24,m,TrialDigitSpan,227.3571451,1.9616813999999998,1,1
25,3,dan_pilot,24,m,TrialDigitSpan,241.6131601,1.2499214,2,2
26,4,dan_pilot,24,m,TrialDigitSpan,253.9665499,2.0658084999999997,1,0
27,5,dan_pilot,24,m,TrialDigitSpan,268.7766254,1.4101286,2,2
28,6,dan_pilot,24,m,TrialDigitSpan,281.9297378,1.796514,0,0
29,7,dan_pilot,24,m,TrialDigitSpan,295.567965,1.3287575,2,2
30,8,dan_pilot,24,m,TrialDigitSpan,308.4516034,2.0450079,1,1
31,9,dan_pilot,24,m,TrialDigitSpan,322.68876339999997,1.588691,0,0
32,10,dan_pilot,24,m,TrialDigitSpan,335.713922,1.6586251,2,2
33,11,dan_pilot,24,m,TrialDigitSpan,349.67137410000004,1.8515682,0,0
